date,country,YoY_pct_change_in_new_postings_trend_from_feb1
2020-02-01,US,0
2020-02-02,US,1.18462001807049
2020-02-03,US,2.49572305524806
2020-02-04,US,3.18452081023883
2020-02-05,US,5.83896742470804
2020-02-06,US,7.55670103092783
2020-02-07,US,9.3476244460476
2020-02-08,US,10.0346726493983
2020-02-09,US,10.8684611477908
2020-02-10,US,11.5848101265823
2020-02-11,US,12.4154638134652
2020-02-12,US,13.5085945399393
2020-02-13,US,14.9074639007525
2020-02-14,US,15.4578979717271
2020-02-15,US,15.5062961806639
2020-02-16,US,15.0881982360353
2020-02-17,US,14.4640778753571
2020-02-18,US,12.8541001064963
2020-02-19,US,11.2143543735982
2020-02-20,US,9.11316938145426
2020-02-21,US,7.66695023394299
2020-02-22,US,6.84787189211968
2020-02-23,US,6.82726698926992
2020-02-24,US,6.74298918180865
2020-02-25,US,8.06502359727321
2020-02-26,US,7.99833368048324
2020-02-27,US,8.15499688344068
2020-02-28,US,8.08541515497046
2020-03-01,US,8.78392376217112
2020-03-02,US,8.75192604006165
2020-03-03,US,7.76728601888517
2020-03-04,US,7.33493879189244
2020-03-05,US,7.25542670234909
2020-03-06,US,7.4610790169392
2020-03-07,US,6.97385995039115
2020-03-08,US,6.31176580272235
2020-03-09,US,5.91318741953284
2020-03-10,US,5.9182929053438
2020-03-11,US,5.91427021161151
2020-03-12,US,6.27143114961199
2020-03-13,US,5.81929555895864
2020-03-14,US,4.89903106040026
2020-03-15,US,3.24847157587371
2020-03-16,US,1.63153070577453
2020-03-17,US,-1.59999999999999
2020-03-18,US,-6.12715696225893
2020-03-19,US,-11.5604801477378
2020-03-20,US,-16.9392847241475
2020-03-21,US,-21.1742602160639
2020-03-22,US,-24.4512021286705
2020-03-23,US,-28.3411685695097
2020-03-24,US,-30.666537680178
2020-03-25,US,-32.3118961647311
2020-03-26,US,-33.4418788237616
2020-03-27,US,-35.3250620347395
2020-03-28,US,-37.9126835517887
2020-03-29,US,-40.6268422086854
2020-03-30,US,-42.8585442417108
2020-03-31,US,-45.2907773644018
2020-04-01,US,-47.2276454509957
2020-04-02,US,-49.0384615384615
2020-04-03,US,-49.2680126303703
2020-04-04,US,-49.7099381835473
2020-04-05,US,-50.4839770698243
2020-04-06,US,-51.2206399112262
2020-04-07,US,-50.9037794413
2020-04-08,US,-50.2567336276011
2020-04-09,US,-49.5502788271272
2020-04-10,US,-49.0860215053763
2020-04-11,US,-47.9400412889328
2020-04-12,US,-46.6522288395596
2020-04-13,US,-45.2630619130118
2020-04-14,US,-44.8650640140002
2020-04-15,US,-45.5258733420512
2020-04-16,US,-45.8629513790162
2020-04-17,US,-46.0482089695573
2020-04-18,US,-46.1053448443108
2020-04-19,US,-46.0300323878693
2020-04-20,US,-46.1232999106522
2020-04-21,US,-46.5710848205334
2020-04-22,US,-45.9235282217277
2020-04-23,US,-45.4693711140557
2020-04-24,US,-45.499332854357
2020-04-25,US,-45.899443643107404
2020-04-26,US,-46.2966783577471
2020-04-27,US,-46.6495110653628
2020-04-28,US,-46.5940614404603
2020-04-29,US,-46.4472470009228
2020-04-30,US,-46.4004901460227
2020-05-01,US,-45.3248330297511
2020-05-02,US,-44.1426996693055
2020-05-03,US,-42.7973282823248
2020-05-04,US,-41.5378517637733
2020-05-05,US,-39.8954016183146
2020-05-06,US,-37.9164619164619
2020-05-07,US,-35.6019417475728
2020-05-08,US,-34.7191550648104
2020-05-09,US,-34.1272118603539
2020-05-10,US,-33.7579617834395
2020-05-11,US,-33.3523104658886
2020-05-12,US,-33.1757587217547
2020-05-13,US,-33.5528791870531
2020-05-14,US,-33.1632170872318
2020-05-15,US,-32.3393612928049
2020-05-16,US,-31.1827956989247
2020-05-17,US,-30.1182080063574
2020-05-18,US,-28.8599414318893
2020-05-19,US,-27.7783478707029
2020-05-20,US,-27.0431061475837
2020-05-21,US,-27.4426508071368
2020-05-22,US,-27.3387441264417
2020-05-23,US,-27.281511702813
2020-05-24,US,-27.1678170836928
2020-05-25,US,-27.3728539034661
2020-05-26,US,-28.8342894252625
2020-05-27,US,-29.5737989372085
2020-05-28,US,-29.008054728015
2020-05-29,US,-28.2270781707592
2020-05-30,US,-29.060025249627
2020-05-31,US,-28.006993006993
2020-06-01,US,-26.9830028328612
2020-06-02,US,-22.6925828762223
2020-06-03,US,-19.0074680799807
2020-06-04,US,-18.4232073926775
2020-06-05,US,-18.6183465458664
2020-06-06,US,-17.0822805668461
2020-06-07,US,-16.866702071163
2020-06-08,US,-16.6322740404457
2020-06-09,US,-17.8006249370023
2020-06-10,US,-18.6186482486433
2020-06-11,US,-18.3263023643677
2020-06-12,US,-17.7004981928299
2020-06-13,US,-16.7524521705351
2020-06-14,US,-15.8622031919035
2020-06-15,US,-13.1880273202089
2020-06-16,US,-12.2101852789309
2020-06-17,US,-11.243628950051
2020-06-18,US,-9.65047943086916
2020-06-19,US,-9.29244794364447
2020-06-20,US,-9.01579332705784
2020-06-21,US,-9.15122156697556
2020-06-22,US,-11.0711348684211
2020-06-23,US,-11.4725500256542
2020-06-24,US,-11.734536875577
2020-06-25,US,-12.588271415413
2020-06-26,US,-12.2983663824104
2020-06-27,US,-12.1302689889725
2020-06-28,US,-11.7458013684429
2020-06-29,US,-11.1447354690598
2020-06-30,US,-10.1629006831319
2020-07-01,US,-9.11298838437171
2020-07-02,US,-8.10497470489039
2020-07-03,US,-7.53547031003678
2020-07-04,US,-7.95502311895754
2020-07-05,US,-7.04676489429852
2020-07-06,US,-5.72489894023817
2020-07-07,US,-3.98446170921197
2020-07-08,US,-2.57220216606499
2020-07-09,US,-1.22798887859128
2020-07-10,US,0.787495525593607
2020-07-11,US,5.48981334634622
2020-07-12,US,5.973715651135
2020-07-13,US,4.84520658303602
2020-07-14,US,3.70287753736338
2020-07-15,US,2.60080865479182
2020-07-16,US,1.65474538272659
2020-07-17,US,0.770753046557648
2020-07-18,US,-1.82392500509477
2020-07-19,US,-2.5479646736372
2020-07-20,US,-2.69473256050438
2020-07-21,US,-3.52642276422764
2020-07-22,US,-3.85505787619527
2020-07-23,US,-4.11518533280191
2020-07-24,US,-3.55577689243028
2020-07-25,US,-3.28647792516332
2020-07-26,US,-2.77366498864871
2020-07-27,US,-1.91870240332311
2020-07-28,US,-0.876406732397172
2020-07-29,US,-0.241012251456107
2020-07-30,US,-0.490343240268198
2020-07-31,US,-0.531115342218658
2020-08-01,US,-0.100816614578081
2020-08-02,US,-0.27225975597458
2020-08-03,US,-0.952763012736924
2020-08-04,US,-1.60230891719745
2020-08-05,US,-1.9518927444795
2020-08-06,US,-2.11066180096656
2020-08-07,US,-2.83893395133256
2020-08-08,US,-3.51507134082963
2020-08-09,US,-3.80783912112467
2020-08-10,US,-3.85287356321838
2020-08-11,US,-3.04494484456195
2020-08-12,US,-2.69829771821805
2020-08-13,US,-2.26472976630877
2020-08-14,US,-1.90458915291131
2020-08-15,US,-2.36300110334683
2020-08-16,US,-2.71703731273844
2020-08-17,US,-2.97916470255492
2020-08-18,US,-4.06627940196173
2020-08-19,US,-4.80852289087244
2020-08-20,US,-4.49046743443336
2020-08-21,US,-4.86760124610592
2020-08-22,US,-4.5366421093447
2020-08-23,US,-4.50641706069671
2020-08-24,US,-4.47904652056902
2020-08-25,US,-4.0149482560368
2020-08-26,US,-4.04629806772527
2020-08-27,US,-4.45653211184274
2020-08-28,US,-4.25389542108785
2020-08-29,US,-3.46748631255402
2020-08-30,US,-2.00698080279232
2020-08-31,US,-0.518590998043056
2020-09-01,US,0.572274296990649
2020-09-02,US,2.31472282932645
2020-09-03,US,6.09333605054005
2020-09-04,US,9.5683827353094
2020-09-05,US,12.2353937341236
2020-09-06,US,13.8785096615779
2020-09-07,US,15.1553852703278
2020-09-08,US,14.6237928472885
2020-09-09,US,13.6353967241013
2020-09-10,US,8.22324628776241
2020-09-11,US,2.53887030112183
2020-09-12,US,-1.67650981139265
2020-09-13,US,-5.1991458546096
2020-09-14,US,-8.38514996342355
2020-09-15,US,-8.44238458742276
2020-09-16,US,-8.27865168539326
2020-09-17,US,-6.65760869565218
2020-09-18,US,-4.63770777849205
